
Axis: X --------------------
,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10,Weight 11,Weight 12,Weight 13,Weight 14,Weight 15,Weight 16,Weight 17,Weight 18,Weight 19,Weight 20
Weight Type : Distance  
Node 1,0.978946,0.51077,0.665325,0.362141,0.831494,0.650435,0.659055,0.636069,0.645258,0.85762,0.0166628,0.421046,0.730013,0.282601,0.297805,0.637987,0.487872,0.461939,0.527481,0.468991
Node 2,0.974879,0.951166,0.317006,0.171051,0.660317,0.189904,0.625796,0.646024,0.647179,0.657634,0.908242,0.626789,0.42731,0.162454,0.653093,0.143437,0.873202,0.110856,0.522542,0.424021
Node 3,0.125838,0.0951293,0.571315,0.01285,0.906687,0.899276,0.564469,0.648215,0.648959,0.660364,0.966813,0.0993154,0.195012,0.748371,0.838206,0.489117,0.0852407,0.84011,0.237821,0.162656
Node 4,0.613675,0.495449,0.221782,0.978776,0.662546,0.365115,0.644741,0.649667,0.650864,0.661675,0.578787,0.370703,0.82768,0.0803332,0.92204,0.621925,0.332177,0.933537,0.898214,0.819437
Node 5,0.6304,0.396985,0.433357,0.0759513,0.906331,0.406949,0.55945,0.651876,0.652302,0.659224,0.477335,0.115236,0.0578903,0.522835,0.480778,0.553691,0.122884,0.98765,0.136657,0.514616
Node 6,0.629548,0.765352,0.0137752,0.934784,0.535083,0.861815,0.603419,0.653014,0.656693,0.659602,0.384851,0.431018,0.803175,0.0924029,0.879018,0.82053,0.199412,0.0262633,0.882683,0.584992
Node 7,0.920151,0.532407,0.378277,0.905033,0.324285,0.804354,0.672291,0.653446,0.657283,0.662162,0.536262,0.947762,0.0282092,0.158157,0.275506,0.737114,0.678466,0.706909,0.319322,0.0784117
Node 8,0.884773,0.152275,0.426441,0.671472,0.784182,0.796196,0.0994488,0.662918,0.658813,0.65906,0.301956,0.604499,0.190978,0.109167,0.0722397,0.789616,0.870624,0.712808,0.127129,0.355707
Node 9,0.935897,0.0616795,0.0498709,0.722702,0.381342,0.258403,0.155727,0.867292,0.659046,0.659046,0.629064,0.44096,0.741676,0.0823583,0.0256689,0.0110776,0.746031,0.924136,0.734055,0.143787
