
Axis: X --------------------
,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10,Weight 11,Weight 12,Weight 13,Weight 14,Weight 15,Weight 16,Weight 17,Weight 18,Weight 19,Weight 20
Weight Type : Distance  
Node 1,0.902752,0.590968,0.610342,0.609324,0.409817,0.40073,0.449499,0.639665,0.439766,0.195827,0.00335302,0.0574232,0.788975,0.44221,0.229726,0.203286,0.212263,0.794146,0.0627916,0.988186
Node 2,0.627661,0.6142,0.616111,0.623328,0.625998,0.631246,0.634745,0.642924,0.647002,0.662815,0.762231,0.294613,0.422196,0.769032,0.978387,0.438861,0.47929,0.765864,0.78482,0.435964
Node 3,0.848327,0.618362,0.624923,0.625309,0.63613,0.634978,0.642105,0.646699,0.657534,0.663423,0.735848,0.84049,0.672392,0.961214,0.159196,0.745317,0.10041,0.939489,0.762568,0.270278
Node 4,0.804779,0.64613,0.633787,0.631518,0.63484,0.639078,0.64321,0.649354,0.651495,0.665257,0.289433,0.340181,0.337692,0.343141,0.49217,0.106124,0.429899,0.26333,0.418377,0.38557
Node 5,0.67141,0.697482,0.638299,0.648554,0.642411,0.640967,0.646285,0.651718,0.65391,0.659593,0.580469,0.665431,0.810183,0.102715,0.113974,0.871869,0.0472123,0.716084,0.752734,0.541323
Node 6,0.899188,0.738617,0.69393,0.651597,0.644729,0.646323,0.650044,0.652333,0.654577,0.664305,0.989243,0.378831,0.884376,0.356174,0.131509,0.6991,0.110381,0.330639,0.739661,0.11927
Node 7,0.694483,0.675861,0.639552,0.662312,0.650774,0.651629,0.652903,0.655173,0.655966,0.659741,0.352121,0.0086056,0.977795,0.945337,0.571991,0.0184681,0.465263,0.41905,0.212333,0.628633
Node 8,0.73409,0.619586,0.538001,0.672174,0.681936,0.655179,0.653522,0.657175,0.657882,0.65913,0.966304,0.727683,0.48241,0.311012,0.198251,0.125911,0.72941,0.842436,0.207683,0.553182
Node 9,0.734161,0.653838,0.667145,0.684362,0.101037,0.660486,0.658904,0.659561,0.222262,0.659055,0.834828,0.530823,0.465692,0.286333,0.158031,0.490638,0.0692811,0.669551,0.238741,0.633813
Node 10,0.678596,0.575657,0.661946,0.161,0.560527,0.550991,0.660933,0.661,0.65907,0.65905,0.120543,0.503538,0.440018,0.15377,0.936012,0.37366,0.889582,0.0677741,0.463459,0.180451
Node 11,0.671988,0.336259,0.513451,0.670535,0.66973,0.148835,0.652399,0.66252,0.659067,0.65808,0.277824,0.276559,0.419193,0.809552,0.577321,0.350616,0.153451,0.770272,0.218766,0.506977
Node 12,0.878555,0.367183,0.609144,0.635861,0.592964,0.643368,0.647002,0.660792,0.662256,0.657008,0.830772,0.259601,0.980828,0.379273,0.651278,0.832648,0.55226,0.963087,0.88861,0.0829677
Node 13,0.870446,0.610368,0.614465,0.639487,0.634464,0.639616,0.666208,0.642826,0.659859,0.656024,0.266645,0.748174,0.553323,0.12841,0.924125,0.179072,0.243771,0.935887,0.574736,0.495971
Node 14,0.615219,0.617813,0.628302,0.673721,0.628949,0.629308,0.631677,0.639313,0.650051,0.653288,0.0132767,0.497194,0.646219,0.0115189,0.209492,0.495593,0.377411,0.340152,0.538947,0.818086
